,SMILES,MOL WEIGHT,VDW VOL,MOLAR VOL,DENSITY,SOLUBILITY,COH ENERGY,GLASS TEMP,HEAT CAP,IND REFRACTION
1,C=CC(=C)Cl,88.53,46.93,70.6,1.25,19.7,27.4,244.0,135.0,1.54
2,CCOC(=O)C=C,100.12,56.2,86.1,1.16,19.1,31.3,254.0,185.0,1.47
3,CC(=O)C(C)=C,84.12,52.34,78.1,1.07,20.2,31.8,344.0,120.0,1.51
4,CCC(=O)C=C,84.12,52.34,79.3,1.06,20.6,33.5,268.0,173.0,1.49
5,COC(=O)C=C,86.09,45.92,70.0,1.23,19.6,26.8,283.0,118.0,1.48
6,CCCCC=C,84.2,61.7,97.7,0.86,16.3,25.9,226.0,179.2,1.47
7,CCSC=C,88.17,51.05,82.4,1.07,17.8,26.2,265.0,165.0,1.56
8,CCCCCCCCCCCCOC(=O)C(=C)C,254.4,169.3,263.0,0.97,17.4,79.7,219.0,513.0,1.48
9,C=CCC(C)C,84.16,61.68,98.6,0.85,15.7,24.5,279.0,147.0,1.46
10,C=CC(C)(C)C,84.16,61.68,97.9,0.86,15.4,23.1,340.0,142.0,1.48
11,C=CC#N,53.06,32.5,46.4,1.17,26.3,32.1,387.0,69.0,1.51
12,BrC=C,106.95,33.43,49.2,2.18,19.1,17.9,377.0,67.0,1.62
13,CC(=O)OC=C,86.09,45.92,70.0,1.23,19.6,26.8,308.0,118.0,1.48
14,CC(=C)C,56.11,41.12,64.7,0.87,15.4,15.4,201.0,114.0,1.49
15,CC(=C)C(=O)O,86.09,46.5,65.3,1.32,19.6,,511.0,112.8,1.52
16,COC(=O)CC(=C)C(=O)OC,158.15,81.56,122.2,1.29,20.1,49.4,366.0,212.3,1.22
17,CSC=C,74.15,40.77,66.3,1.12,18.1,21.7,270.0,134.0,1.58
18,CCCCOC(=O)CC(=C)C(=O)OCCCC,242.32,143.24,219.0,1.11,18.7,76.2,286.0,370.0,1.49
19,CC(=O)C=C,70.09,42.06,63.1,1.11,21.5,29.3,305.0,97.0,1.49
20,OC(=O)C=C,72.06,36.23,50.0,1.44,21.3,22.7,380.0,90.0,1.52
21,CCC=CC=C,82.14,59.23,90.6,0.91,17.2,26.8,194.0,165.2,1.49
22,O=C(C(=C)C)NCc1ccccc1,175.23,104.27,155.6,1.13,23.8,88.2,495.0,226.0,1.59
23,CCCC=C,70.14,51.4,81.6,0.86,16.3,21.5,229.0,148.9,1.47
24,ClCC1CO1,92.52,41.07,69.0,1.34,19.9,27.2,256.0,150.0,1.51
25,C=COC(=O)c1ccccc1,148.2,81.4,120.0,1.24,20.8,51.6,352.0,172.0,1.59
26,CCCCCCCCCCOC(=O)C(=C)C,226.4,148.7,233.0,0.97,17.4,70.9,219.0,452.5,1.48
27,C=CC(C)C,70.14,51.4,82.5,0.85,15.5,19.9,292.0,120.0,1.46
28,C=C(C)CC,70.14,51.4,80.9,0.87,15.7,20.0,255.0,144.0,1.48
29,Brc1ccc(cc1)Br,76.1,45.6,68.2,1.12,20.2,27.8,558.0,82.9,1.65
30,ClC=C,62.5,28.82,45.3,1.38,19.1,16.6,350.0,66.0,1.53
31,CCCCCCCCNC(=O)C=C,183.3,120.22,187.4,0.98,20.9,82.2,228.0,389.0,1.49
32,FC(=C(F)F)F,100.01,28.11,47.6,2.1,12.9,7.9,385.0,99.0,1.36
33,CCCOC(=O)CC(=C)C(=O)OCCC,214.26,122.68,186.7,1.15,19.0,67.2,303.0,318.0,1.48
34,C=CO,44.05,23.13,35.4,1.25,31.5,35.2,357.0,58.0,1.54
35,CC(=C)C(=O)OCCc1ccccc1,190.24,112.2,167.0,1.14,19.4,63.1,352.0,250.0,1.56
36,CC(=C)C(=O)OC1CCC(CC1)C(C)(C)C,224.34,141.5,217.0,1.03,17.4,65.5,391.0,315.0,1.5
37,CC=CC=C,68.12,48.95,74.6,0.91,17.2,22.2,200.0,136.0,1.51
38,C=CC(=O)Nc1ccccc1,147.18,83.71,124.0,1.19,25.9,82.9,498.0,177.0,1.61
39,C=C.[C-]#[O+],56.06,31.79,46.1,1.22,24.5,27.6,290.0,76.0,1.52
40,CCCCCCCCOC(=O)C(=C)C,198.3,128.2,198.4,1.0,17.6,61.5,234.0,392.0,1.48
41,CCC=C,56.11,41.12,65.5,0.86,16.0,16.8,241.0,119.0,1.47
42,C=COC=O,72.06,32.01,55.5,1.3,18.3,18.0,293.0,85.0,1.44
43,C=CC1CCCCC1,110.2,74.97,115.5,0.95,17.2,34.2,380.0,161.0,1.5
44,C=CCC=C,68.12,48.95,76.3,0.89,16.1,19.8,208.0,129.0,1.51
45,O=C(C(=C)C)OCc1ccccc1,176.22,101.92,151.2,1.17,19.7,58.7,353.0,224.0,1.57
46,OC(=O)C(O)C,72.06,35.64,54.9,1.31,20.3,22.6,312.0,93.0,1.48
47,OCCOCCO.O=C=NCCCCCCN=C=O,274.32,147.34,223.1,1.23,23.8,126.5,275.0,560.0,1.52
48,CCCCOC(=O)C(=C)C#N,153.18,88.7,130.9,1.17,21.8,62.0,344.0,216.0,1.5
49,CCCCCCCCOC(=O)C=C,184.3,117.9,183.0,1.01,17.9,58.4,216.0,366.5,1.47
50,CCCCC(COC(=O)C=C)CC,184.28,117.87,183.8,1.0,17.6,56.8,222.0,364.0,1.47
51,Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,232.26,108.88,168.3,1.38,24.7,102.7,505.0,233.0,1.61
52,ClCCCl.[Na]S[Na],60.12,30.49,49.2,1.22,19.6,18.9,223.0,107.0,1.64
53,C=CC(=O)OCc1ccccc1,162.19,91.65,135.7,1.19,20.3,55.9,352.0,201.0,1.57
54,CC(=C)C(=O)Oc1ccccc1,162.2,91.7,135.0,1.2,20.1,54.3,387.0,197.0,1.58
55,CCCOC(=O)/C=C/C(=O)OCCC,200.23,112.4,172.2,1.16,19.1,62.5,266.0,370.0,1.48
56,ClCC(C)Cl.[Na]S[Na],74.15,40.77,66.3,1.12,18.1,21.7,221.0,134.0,1.59
57,OC(=O)c1cccc(c1)C(=O)O.OCCO,192.17,96.3,141.7,1.36,21.9,68.0,338.0,223.0,1.57
